name,mobile,email,password,taluka,district
Pravin Chougule,9893595340,pravinchougule@nexora.in,farm123,Dharni,Amravati
Sanjay Holkar,6221065483,sanjayholkar@nexora.in,farm123,Pauni,Bhandara
Govind Bhagat,6503744738,govindbhagat@nexora.in,farm123,Vasai,Palghar
Gopal Pardeshi,9979292950,gopalpardeshi@nexora.in,farm123,Balapur,Akola
Madhukar Takawale,9927064169,madhukartakawa@nexora.in,farm123,Rahata,Ahilyanagar (Ahmednagar)
Gopichand Zende,6195132440,gopichandzende@nexora.in,farm123,Balapur,Akola
Gopichand Holkar,8427052484,gopichandholka@nexora.in,farm123,Beed,Beed
Bhausaheb Borate,9666381853,bhausahebborat@nexora.in,farm123,Lohara,Dharashiv (Osmanabad)
Pravin Wagh,8900081882,pravinwagh2@nexora.in,farm123,Renapur,Latur
Anand Shelke,9521428150,anandshelke@nexora.in,farm123,Bhadgaon,Jalgaon
Rahul Ohol,7244614730,rahulohol@nexora.in,farm123,Vada,Palghar
Ashok Kulkarni,6524532800,ashokkulkarni2@nexora.in,farm123,Dharur,Beed
Popat Shinde,8587806754,popatshinde@nexora.in,farm123,Murtajapur,Akola
Krushna Shelke,7375383060,krushnashelke2@nexora.in,farm123,Washim,Washim
Vishal Randhawa,7292764596,vishalrandhawa@nexora.in,farm123,Rahuri,Ahilyanagar (Ahmednagar)
Shankar Kadam,8231294322,shankarkadam@nexora.in,farm123,Sengaon,Hingoli
Ashok Dhumal,6570660431,ashokdhumal@nexora.in,farm123,Malkapur,Buldhana
Laxman Holkar,7377515418,laxmanholkar@nexora.in,farm123,Dhanora,Gadchiroli
Vishal Mane,9193246147,vishalmane@nexora.in,farm123,Kopargaon,Ahilyanagar (Ahmednagar)
Kamal Kulkarni,9996250724,kamalkulkarni@nexora.in,farm123,Khanapur,Sangli
Madhukar Kachare,8535099137,madhukarkachar@nexora.in,farm123,Aurangabad,Chhatrapati Sambhajinagar (Aurangabad)
Ganesh Bhandare,6723544568,ganeshbhandare@nexora.in,farm123,Igatpuri,Nashik
Laxman Solanke,6733910311,laxmansolanke@nexora.in,farm123,Sengaon,Hingoli
Jagdish Patil,7345565664,jagdishpatil@nexora.in,farm123,Mehkar,Buldhana
Ishwar Ghadge,6995574958,ishwarghadge@nexora.in,farm123,Ballarpur,Chandrapur
Balasaheb Kadam,6946221710,balasahebkadam2@nexora.in,farm123,Shirpur,Dhule
Pooja Ubale,8554474518,poojaubale@nexora.in,farm123,Babhulgaon,Yavatmal
Umesh Chavhan,7954000418,umeshchavhan@nexora.in,farm123,Loha,Nanded
Anil Bhosale,6484163551,anilbhosale@nexora.in,farm123,Seloo,Wardha
Yamuna Yadav,7901443957,yamunayadav@nexora.in,farm123,Mhasala,Raigad
Pushpa Chougule,7452968708,pushpachougule@nexora.in,farm123,Manora,Washim
Prakash Shelke,6380288087,prakashshelke@nexora.in,farm123,Gondpimpri,Chandrapur
Nanda Mhaske,6549694785,nandamhaske@nexora.in,farm123,Karad,Satara
Rekha Ghule,8262379581,rekhaghule@nexora.in,farm123,Akole,Ahilyanagar (Ahmednagar)
Kiran Khedkar,6434721557,kirankhedkar@nexora.in,farm123,Malkapur,Buldhana
Mangal Rasal,7128831950,mangalrasal2@nexora.in,farm123,Kavathemahankal,Sangli
Yogesh Bhagat,6849195502,yogeshbhagat@nexora.in,farm123,Shegaon,Buldhana
Vandana Waghmare,9643887553,vandanawaghmar@nexora.in,farm123,Sailu,Parbhani
Tukaram Fadnavis,6163311721,tukaramfadnavi2@nexora.in,farm123,Karjat,Ahilyanagar (Ahmednagar)
Sanjay Mahajan,6164518120,sanjaymahajan@nexora.in,farm123,Balapur,Akola
Balasaheb Joshi,8955032717,balasahebjoshi@nexora.in,farm123,Shirur Anantpal,Latur
Madhuri Bansode,7221681834,madhuribansode@nexora.in,farm123,Borivali,Mumbai Suburban
Krushna Yadav,6800476472,krushnayadav@nexora.in,farm123,Chamorshi,Gadchiroli
Shobha Ghorpade,8943201835,shobhaghorpade@nexora.in,farm123,Dindori,Nashik
Ishwar Kadam,8128555062,ishwarkadam@nexora.in,farm123,Kaij,Beed
Sunita Bhosale,6640739339,sunitabhosale3@nexora.in,farm123,Deola,Nashik
Rekha Fadnavis,8354718553,rekhafadnavis@nexora.in,farm123,Tiosa,Amravati
Pooja Bansode,7700159429,poojabansode@nexora.in,farm123,Nandurbar,Nandurbar
Bapurao Thorat,6700007805,bapuraothorat@nexora.in,farm123,Umarkhed,Yavatmal
Chhaya Randhawa,7422763271,chhayarandhawa@nexora.in,farm123,Sakri,Dhule
Vasudev Wagh,8830177951,vasudevwagh@nexora.in,farm123,Ambajogai,Beed
Anita Nikam,9099327106,anitanikam@nexora.in,farm123,Pune City,Pune
Pandurang Sable,9709000017,pandurangsable2@nexora.in,farm123,Tuljapur,Dharashiv (Osmanabad)
Anand Kachare,6377690294,anandkachare@nexora.in,farm123,Arjuni-Morgaon,Gondia
Anand Thorat,7493612426,anandthorat@nexora.in,farm123,Shirur Anantpal,Latur
Gopichand Bhagat,8077206179,gopichandbhaga@nexora.in,farm123,Igatpuri,Nashik
Ashok Sathe,6624764084,ashoksathe@nexora.in,farm123,Kudal,Sindhudurg
Madhuri Rane,9977983397,madhurirane@nexora.in,farm123,Latur,Latur
Ravindra Chougule,9515176071,ravindrachougu2@nexora.in,farm123,Deori,Gondia
Sopan Ohol,6763391158,sopanohol@nexora.in,farm123,Gangakhed,Parbhani
Sadashiv Tupe,8123697733,sadashivtupe@nexora.in,farm123,Borivali,Mumbai Suburban
Ravi Chavhan,9803174925,ravichavhan@nexora.in,farm123,Mangrulpir,Washim
Lata Mhaske,7545870911,latamhaske@nexora.in,farm123,Deola,Nashik
Chhaya Ghule,9939673778,chhayaghule@nexora.in,farm123,Khed,Ratnagiri
Santosh Lokhande,7832773058,santoshlokhand@nexora.in,farm123,Bhiwandi,Thane
Tukaram Lokhande,6327328412,tukaramlokhand@nexora.in,farm123,Nanded,Nanded
Nitin Pawar,9480050079,nitinpawar@nexora.in,farm123,Sangameshwar,Ratnagiri
Bhausaheb Holkar,8225725318,bhausahebholka3@nexora.in,farm123,Daund,Pune
Sindhu Ghule,7595478987,sindhughule2@nexora.in,farm123,Aundha Nagnath,Hingoli
Gopichand Yadav,9522051010,gopichandyadav@nexora.in,farm123,Madha,Solapur
Yogesh Deshpande,7974012372,yogeshdeshpand2@nexora.in,farm123,Beed,Beed
Raghunath Adsul,9288959875,raghunathadsul2@nexora.in,farm123,Poladpur,Raigad
Balasaheb Hande,6811580746,balasahebhande2@nexora.in,farm123,Darwha,Yavatmal
Narayan Rasal,7007682575,narayanrasal@nexora.in,farm123,Akole,Ahilyanagar (Ahmednagar)
Kavita Mane,7464536640,kavitamane@nexora.in,farm123,Nandgaon,Nashik
Amol Randhawa,8210698828,amolrandhawa@nexora.in,farm123,Malwan,Sindhudurg
Lata Bansode,7576572660,latabansode@nexora.in,farm123,Vaijapur,Chhatrapati Sambhajinagar (Aurangabad)
Ajit Takawale,7829395668,ajittakawale@nexora.in,farm123,Etapalli,Gadchiroli
Shrikant Jare,7548523832,shrikantjare3@nexora.in,farm123,Vikramgad,Palghar
Dnyaneshwar Yadav,9011786542,dnyaneshwaryad3@nexora.in,farm123,Mokhada,Palghar
Zaheer Shinde,8738383798,zaheershinde2@nexora.in,farm123,Jat,Sangli
Mangal Rasal,6111997229,mangalrasal@nexora.in,farm123,Rahata,Ahilyanagar (Ahmednagar)
Hanumant Kachare,7714777626,hanumantkachar@nexora.in,farm123,Jat,Sangli
Ajit Kale,7724087416,ajitkale@nexora.in,farm123,Palus,Sangli
Vasant Adsul,9780615475,vasantadsul@nexora.in,farm123,Aundha Nagnath,Hingoli
Gopal Khedkar,9919540897,gopalkhedkar@nexora.in,farm123,Igatpuri,Nashik
Eknath Gadhave,9723904078,eknathgadhave2@nexora.in,farm123,Lakhandur,Bhandara
Ishwar Kulkarni,6612277673,ishwarkulkarni2@nexora.in,farm123,Shirpur,Dhule
Rajesh Fadnavis,8785064922,rajeshfadnavis@nexora.in,farm123,Mangalvedhe,Solapur
Sindhu Ohol,6509060820,sindhuohol@nexora.in,farm123,Bhatkuli,Amravati
Rekha Pawar,7342156354,rekhapawar@nexora.in,farm123,Armori,Gadchiroli
Krushna Dhumal,9433136798,krushnadhumal@nexora.in,farm123,Chimur,Chandrapur
Kailas Chougule,7532937433,kailaschougule@nexora.in,farm123,Ambegaon,Pune
Uttam Holkar,9416089425,uttamholkar@nexora.in,farm123,Jamner,Jalgaon
Raghunath Deshpande,9236993586,raghunathdeshp@nexora.in,farm123,Hinganghat,Wardha
Santosh Dabhade,6257715255,santoshdabhade@nexora.in,farm123,Deglur,Nanded
Ishwar Waghmare,7654354018,ishwarwaghmare@nexora.in,farm123,Chandur,Amravati
Sunita Patil,9933551027,sunitapatil@nexora.in,farm123,Ambegaon,Pune
Kalpana Ohol,7056878086,kalpanaohol@nexora.in,farm123,Ballarpur,Chandrapur
Madhukar Holkar,6833374893,madhukarholkar@nexora.in,farm123,Sengaon,Hingoli
Usha Lokhande,9160890195,ushalokhande2@nexora.in,farm123,Radhanagari,Kolhapur
Anita Hiwale,6985278610,anitahiwale@nexora.in,farm123,Umred,Nagpur
Rahul Rane,9297846920,rahulrane@nexora.in,farm123,Parel,Mumbai City
Bandu Solanke,8254401128,bandusolanke@nexora.in,farm123,Mhasala,Raigad
Prashant Fadnavis,6455688427,prashantfadnav@nexora.in,farm123,Nagbhid,Chandrapur
Prakash Kachare,6536330740,prakashkachare@nexora.in,farm123,Akole,Ahilyanagar (Ahmednagar)
Suresh Takawale,9856046494,sureshtakawale@nexora.in,farm123,Gondpimpri,Chandrapur
Raghunath Chavan,6648444949,raghunathchava@nexora.in,farm123,Vaibhavwadi,Sindhudurg
Amol Bhosale,6903629786,amolbhosale@nexora.in,farm123,Kadegaon,Sangli
Usha Rane,9319243393,usharane@nexora.in,farm123,Nevasa,Ahilyanagar (Ahmednagar)
Chhaya Deshpande,8661644152,chhayadeshpand@nexora.in,farm123,Karmala,Solapur
Nitin Ghule,8061483671,nitinghule@nexora.in,farm123,Digras,Yavatmal
Vijay Dabhade,9384550849,vijaydabhade@nexora.in,farm123,Kinwat,Nanded
Hanumant Vibhute,7326520517,hanumantvibhut@nexora.in,farm123,Vikramgad,Palghar
Amol Dabhade,9622053745,amoldabhade@nexora.in,farm123,Risod,Washim
Rajendra Jare,7024422732,rajendrajare@nexora.in,farm123,Barshitakli,Akola
Rupali Kadam,7421895541,rupalikadam@nexora.in,farm123,Maregaon,Yavatmal
Sushila Powar,6219473868,sushilapowar@nexora.in,farm123,Narkhed,Nagpur
Vijay Kulkarni,9443370693,vijaykulkarni3@nexora.in,farm123,Biloli,Nanded
Anand Lokhande,6048514603,anandlokhande@nexora.in,farm123,Bandra,Mumbai Suburban
Madhuri Adsul,7511674753,madhuriadsul@nexora.in,farm123,Dhamangaon,Amravati
Uttam Ghule,9360110576,uttamghule@nexora.in,farm123,Ambajogai,Beed
Baban Deshmukh,7471107531,babandeshmukh@nexora.in,farm123,Dahanu,Palghar
Dnyaneshwar Shinde,6854059814,dnyaneshwarshi@nexora.in,farm123,Karmala,Solapur
Yogesh Kachare,9496883490,yogeshkachare@nexora.in,farm123,Kalamnuri,Hingoli
Neelam Mahajan,6334985482,neelammahajan@nexora.in,farm123,Dahanu,Palghar
Narayan Bhosale,7525983355,narayanbhosale@nexora.in,farm123,Ghansawangi,Jalna
Mangesh Thorat,9262926301,mangeshthorat2@nexora.in,farm123,Mul,Chandrapur
Umesh Kulkarni,7130373425,umeshkulkarni@nexora.in,farm123,Tiosa,Amravati
Yogesh Satpute,8505307232,yogeshsatpute2@nexora.in,farm123,Maan,Satara
Santosh Jagtap,8012644496,santoshjagtap@nexora.in,farm123,Ausa,Latur
Sadashiv Chavhan,8760865307,sadashivchavha@nexora.in,farm123,Bhiwandi,Thane
Usha Zende,9495784384,ushazende@nexora.in,farm123,Mahabaleshwar,Satara
Shobha Yeole,8594094699,shobhayeole@nexora.in,farm123,Chamorshi,Gadchiroli
Dilip Ubhe,9395528090,dilipubhe@nexora.in,farm123,Deulgaon Raja,Buldhana
Umesh Yadav,9599061419,umeshyadav@nexora.in,farm123,Atpadi,Sangli
Uttam Vibhute,8925405021,uttamvibhute@nexora.in,farm123,Palam,Parbhani
Vithal Deshmukh,9510168287,vithaldeshmukh@nexora.in,farm123,Sindkheda,Dhule
Shrikant Wagh,8087746311,shrikantwagh@nexora.in,farm123,Chikhaldara,Amravati
Radhika Sable,7208318246,radhikasable@nexora.in,farm123,Savner,Nagpur
Milind Kachare,6089592409,milindkachare@nexora.in,farm123,Kinwat,Nanded
Anand Dabhade,6738530749,ananddabhade@nexora.in,farm123,Vikramgad,Palghar
Madhuri Jagtap,7326849909,madhurijagtap@nexora.in,farm123,Shegaon,Buldhana
Manohar Dabhade,6281519348,manohardabhade@nexora.in,farm123,Hingoli,Hingoli
Ashok Ghadge,8087020595,ashokghadge@nexora.in,farm123,Ambad,Jalna
Rupali Hiwale,8700123265,rupalihiwale@nexora.in,farm123,Wai,Satara
Anita Bansode,6862059158,anitabansode@nexora.in,farm123,Barshi,Solapur
Dattatray Sathe,7631073383,dattatraysathe@nexora.in,farm123,Aundha Nagnath,Hingoli
Vijay Mane,7269343119,vijaymane@nexora.in,farm123,Khuldabad,Chhatrapati Sambhajinagar (Aurangabad)
Ganesh Waghmare,6603496673,ganeshwaghmare@nexora.in,farm123,Panvel,Raigad
Dattatray Gadhave,8189042438,dattatraygadha@nexora.in,farm123,Madha,Solapur
Sunita Shelke,6544242572,sunitashelke@nexora.in,farm123,Tiosa,Amravati
Dilip Deshpande,8250347610,dilipdeshpande@nexora.in,farm123,Amgaon,Gondia
Neelam Bhosale,7865277061,neelambhosale2@nexora.in,farm123,Majalgaon,Beed
Prashant Takawale,8805255218,prashanttakawa@nexora.in,farm123,Fort,Mumbai City
Raghunath Bansode,8653513269,raghunathbanso@nexora.in,farm123,Gondia,Gondia
Swati Shelke,7912716558,swatishelke@nexora.in,farm123,Dapoli,Ratnagiri
Ishwar Rane,9581348557,ishwarrane@nexora.in,farm123,Karanja,Washim
Keshav Chougule,7887948162,keshavchougule@nexora.in,farm123,Velhe,Pune
Govind Chavan,6166361406,govindchavan@nexora.in,farm123,Wai,Satara
Umesh Landge,8567270118,umeshlandge@nexora.in,farm123,Kalameshwar,Nagpur
Chhaya Mane,6139097084,chhayamane@nexora.in,farm123,Armori,Gadchiroli
Zaheer Shinde,9276782866,zaheershinde@nexora.in,farm123,Jalgaon Jamod,Buldhana
Tanaji Ubale,8815248638,tanajiubale@nexora.in,farm123,Armori,Gadchiroli
Ashok Kulkarni,8631365403,ashokkulkarni@nexora.in,farm123,Latur,Latur
Vijay More,7276554015,vijaymore@nexora.in,farm123,Sangamner,Ahilyanagar (Ahmednagar)
Shankar Satpute,7833946267,shankarsatpute@nexora.in,farm123,Tala,Raigad
Pandurang Landge,9064287277,panduranglandg@nexora.in,farm123,Ambad,Jalna
Chandrakant Salunkhe,6065000310,chandrakantsal@nexora.in,farm123,Lakhandur,Bhandara
Milind Ubale,7728146250,milindubale@nexora.in,farm123,Ashti,Wardha
Rajendra Mahajan,6920303268,rajendramahaja@nexora.in,farm123,Kopargaon,Ahilyanagar (Ahmednagar)
Rajesh Lokhande,9888097244,rajeshlokhande@nexora.in,farm123,Solapur North,Solapur
Madhuri Patil,6181236781,madhuripatil@nexora.in,farm123,Shegaon,Buldhana
Mangesh Ubhe,7094698645,mangeshubhe@nexora.in,farm123,Kudal,Sindhudurg
Vinod Rane,9476750037,vinodrane@nexora.in,farm123,Deoni,Latur
Yashwant Ghule,8684556461,yashwantghule@nexora.in,farm123,Patan,Satara
Arun Hiwale,8382585525,arunhiwale@nexora.in,farm123,Dhadgaon,Nandurbar
Yashwant Satpute,6240419147,yashwantsatput2@nexora.in,farm123,Salekasa,Gondia
Neelam Landge,7856469955,neelamlandge@nexora.in,farm123,Shahada,Nandurbar
Eknath Borate,7522992826,eknathborate@nexora.in,farm123,Ausa,Latur
Shivaji Hiwale,7633853283,shivajihiwale@nexora.in,farm123,Salekasa,Gondia
Umesh Vhatkar,7481394635,umeshvhatkar2@nexora.in,farm123,Sakri,Dhule
Milind Kale,8420292904,milindkale@nexora.in,farm123,Chopda,Jalgaon
Meera Kale,7299782309,meerakale@nexora.in,farm123,Velhe,Pune
Jyoti Chavhan,7131215876,jyotichavhan3@nexora.in,farm123,Patur,Akola
Amol Khedkar,7849399014,amolkhedkar@nexora.in,farm123,Vikramgad,Palghar
Mangal Chougule,9014062623,mangalchougule2@nexora.in,farm123,Chiplun,Ratnagiri
Sunita Bhosale,9929761918,sunitabhosale@nexora.in,farm123,Kurkheda,Gadchiroli
Madhuri More,7017196596,madhurimore@nexora.in,farm123,Sinnar,Nashik
Arun Pawar,8824918586,arunpawar@nexora.in,farm123,Kurla,Mumbai Suburban
Chhaya Jare,9444568384,chhayajare@nexora.in,farm123,Solapur South,Solapur
Jyoti Mhaske,6879624872,jyotimhaske@nexora.in,farm123,Kaij,Beed
Hanumant Bansode,7138171251,hanumantbansod2@nexora.in,farm123,Wardha,Wardha
Yamuna Mahajan,8027121365,yamunamahajan@nexora.in,farm123,Kalamb,Dharashiv (Osmanabad)
Anil Bhosale,9677558693,anilbhosale2@nexora.in,farm123,Pusad,Yavatmal
Vithal Damle,8047741970,vithaldamle@nexora.in,farm123,Salekasa,Gondia
Rekha Dabhade,8703298872,rekhadabhade@nexora.in,farm123,Ambegaon,Pune
Arun Bhosale,7919300471,arunbhosale@nexora.in,farm123,Pen,Raigad
Kavita Vibhute,6001311366,kavitavibhute2@nexora.in,farm123,Mahabaleshwar,Satara
Uttam Rasal,8314234462,uttamrasal@nexora.in,farm123,Hingoli,Hingoli
Vithal Vhatkar,6306475129,vithalvhatkar@nexora.in,farm123,Basmath,Hingoli
Keshav Deshmukh,7333843844,keshavdeshmukh2@nexora.in,farm123,Sengaon,Hingoli
Ravindra Landge,7130740228,ravindralandge@nexora.in,farm123,Nandurbar,Nandurbar
Santosh Kale,9368354263,santoshkale@nexora.in,farm123,Morshi,Amravati
Pushpa Shelke,6349705972,pushpashelke@nexora.in,farm123,Mangrulpir,Washim
Uttam Naikwadi,9724526964,uttamnaikwadi@nexora.in,farm123,Kagal,Kolhapur
Sarika Landge,8085645145,sarikalandge@nexora.in,farm123,Shahada,Nandurbar
Gopichand Vhatkar,9156453262,gopichandvhatk@nexora.in,farm123,Bhamragad,Gadchiroli
Vishal Gawali,9276090772,vishalgawali@nexora.in,farm123,Dapoli,Ratnagiri
Balasaheb Takawale,9313320794,balasahebtakaw@nexora.in,farm123,Parseoni,Nagpur
Milind Hiwale,7726684017,milindhiwale2@nexora.in,farm123,Aheri,Gadchiroli
Govind Jadhav,7027044785,govindjadhav2@nexora.in,farm123,Guhagar,Ratnagiri
Pooja Hiwale,8871502110,poojahiwale@nexora.in,farm123,Devgad,Sindhudurg
Umesh Naikwadi,9776211465,umeshnaikwadi@nexora.in,farm123,Badnapur,Jalna
Baburao Bansode,8738304298,baburaobansode@nexora.in,farm123,Roha,Raigad
Rupali Borate,7240482611,rupaliborate2@nexora.in,farm123,Dindori,Nashik
Kiran Takawale,7151271643,kirantakawale@nexora.in,farm123,Peth,Nashik
Yogesh Kale,9095432792,yogeshkale@nexora.in,farm123,Latur,Latur
Sunil Kadam,9586143314,sunilkadam@nexora.in,farm123,Nagar,Ahilyanagar (Ahmednagar)
Swati Mahajan,9645320388,swatimahajan@nexora.in,farm123,Sudhagad-Pali,Raigad
Radhika Naikwadi,8127634877,radhikanaikwad@nexora.in,farm123,Ashti,Beed
Krushna Mhaske,7443394391,krushnamhaske@nexora.in,farm123,Vikramgad,Palghar
Dnyaneshwar Ghorpade,6451379644,dnyaneshwargho@nexora.in,farm123,Parner,Ahilyanagar (Ahmednagar)
Madhuri Suryawanshi,7541061254,madhurisuryawa2@nexora.in,farm123,Akkalkuwa,Nandurbar
Madhuri Jare,9591283331,madhurijare@nexora.in,farm123,Phulambri,Chhatrapati Sambhajinagar (Aurangabad)
Sopan Zende,6398195586,sopanzende@nexora.in,farm123,Saoli,Chandrapur
Kavita Chavhan,9581012979,kavitachavhan2@nexora.in,farm123,Murtajapur,Akola
Seema Gawali,9253879403,seemagawali@nexora.in,farm123,Kannad,Chhatrapati Sambhajinagar (Aurangabad)
Bapurao Jagtap,7172605867,bapuraojagtap@nexora.in,farm123,Mul,Chandrapur
Nanda Deshpande,8138693537,nandadeshpande@nexora.in,farm123,Bandra,Mumbai Suburban
Anil Yadav,8120783383,anilyadav2@nexora.in,farm123,Sawantwadi,Sindhudurg
Yashwant Wagh,6655185185,yashwantwagh@nexora.in,farm123,Maan,Satara
Arun Jare,7419821366,arunjare@nexora.in,farm123,Barshi,Solapur
Seema Bansode,7110740466,seemabansode@nexora.in,farm123,Karvir,Kolhapur
Jagdish More,6382667590,jagdishmore@nexora.in,farm123,Georai,Beed
Seema Naikwadi,7525967974,seemanaikwadi@nexora.in,farm123,Rajapur,Ratnagiri
Pravin Vhatkar,6259637318,pravinvhatkar@nexora.in,farm123,Peth,Nashik
Lata Rathod,6384092956,latarathod2@nexora.in,farm123,Navapur,Nandurbar
Kiran Thorat,9389845839,kiranthorat2@nexora.in,farm123,Karvir,Kolhapur
Popat Nikam,6867086560,popatnikam@nexora.in,farm123,Pachora,Jalgaon
Vasudev Kale,9340495280,vasudevkale@nexora.in,farm123,Miraj,Sangli
Sarika Kulkarni,6385831418,sarikakulkarni@nexora.in,farm123,Jaoli,Satara
Eknath Thorat,8633031145,eknaththorat@nexora.in,farm123,Parner,Ahilyanagar (Ahmednagar)
Narayan Hande,6572847298,narayanhande@nexora.in,farm123,Tasgaon,Sangli
Ravindra Joshi,9115495981,ravindrajoshi@nexora.in,farm123,Dodamarg,Sindhudurg
Jyoti Pawar,9209792811,jyotipawar@nexora.in,farm123,Majalgaon,Beed
Kalpana Ubale,9848558167,kalpanaubale@nexora.in,farm123,Shirpur,Dhule
Mangesh Sable,8055847980,mangeshsable@nexora.in,farm123,Velhe,Pune
Milind Jare,6301158523,milindjare@nexora.in,farm123,Bhamragad,Gadchiroli
Bandu Kadam,9433329022,bandukadam2@nexora.in,farm123,Mehkar,Buldhana
Keshav Jadhav,6769027693,keshavjadhav2@nexora.in,farm123,Sindkhed Raja,Buldhana
Sadashiv Jare,6107588790,sadashivjare@nexora.in,farm123,Talasari,Palghar
Sunita Randhawa,6263768791,sunitarandhawa@nexora.in,farm123,Warora,Chandrapur
Chandrakant Suryawanshi,7216630085,chandrakantsur@nexora.in,farm123,Nandgaon Khandeshwar,Amravati
Sunil Bhandare,6564499342,sunilbhandare@nexora.in,farm123,Parseoni,Nagpur
Vasant Bhosale,7801291124,vasantbhosale2@nexora.in,farm123,Kannad,Chhatrapati Sambhajinagar (Aurangabad)
Ramesh Chougule,8463945668,rameshchougule@nexora.in,farm123,Ulhasnagar,Thane
Tukaram Borate,7883809315,tukaramborate@nexora.in,farm123,Ratnagiri,Ratnagiri
Pushpa Ghule,9930320296,pushpaghule@nexora.in,farm123,Shahapur,Thane
Balasaheb Kachare,9552381221,balasahebkacha@nexora.in,farm123,Sengaon,Hingoli
Yamuna Adsul,7681067365,yamunaadsul@nexora.in,farm123,Niphad,Nashik
Arun Landge,8629417087,arunlandge@nexora.in,farm123,Raver,Jalgaon
Laxman Landge,8465023368,laxmanlandge@nexora.in,farm123,Sakoli,Bhandara
Sarika Patil,6418565096,sarikapatil@nexora.in,farm123,Patan,Satara
Pushpa Jadhav,6731635077,pushpajadhav@nexora.in,farm123,Murbad,Thane
Yashwant Bansode,9638610619,yashwantbansod@nexora.in,farm123,Chakur,Latur
Shrikant Ghadge,8592134120,shrikantghadge@nexora.in,farm123,Kannad,Chhatrapati Sambhajinagar (Aurangabad)
Chandrakant Kachare,7413237907,chandrakantkac@nexora.in,farm123,Basmath,Hingoli
Swati Nalawade,7426334221,swatinalawade@nexora.in,farm123,Karjat,Raigad
Rajendra Kulkarni,8787387067,rajendrakulkar@nexora.in,farm123,Jat,Sangli
Ishwar Hiwale,9647874101,ishwarhiwale@nexora.in,farm123,Kurla,Mumbai Suburban
Sunil Nalawade,9461502586,sunilnalawade@nexora.in,farm123,Telhara,Akola
Madhukar Khedkar,8193521278,madhukarkhedka@nexora.in,farm123,Akkalkot,Solapur
Umesh Salunkhe,7177333719,umeshsalunkhe@nexora.in,farm123,Ramtek,Nagpur
Seema Mhaske,9228471385,seemamhaske@nexora.in,farm123,Ambajogai,Beed
Kalpana Salunkhe,7572794244,kalpanasalunkh@nexora.in,farm123,Mahur,Nanded
Prashant Gawali,8320499130,prashantgawali@nexora.in,farm123,Daund,Pune
Meera Suryawanshi,8459823845,meerasuryawans@nexora.in,farm123,Nandgaon Khandeshwar,Amravati
Vinod Naikwadi,9440569318,vinodnaikwadi@nexora.in,farm123,Peth,Nashik
Baban Gaikwad,7769433310,babangaikwad@nexora.in,farm123,Shirur-Kasar,Beed
Yamuna Kachare,7473363340,yamunakachare@nexora.in,farm123,Sangameshwar,Ratnagiri
Seema Kale,9030325308,seemakale@nexora.in,farm123,Colaba,Mumbai City
Kamal Rathod,6729960382,kamalrathod@nexora.in,farm123,Risod,Washim
Laxman Joshi,9287258751,laxmanjoshi@nexora.in,farm123,Nagpur Urban,Nagpur
Dattatray Chavhan,8386048329,dattatraychavh@nexora.in,farm123,Shrirampur,Ahilyanagar (Ahmednagar)
Dattatray Naikwadi,7197148998,dattatraynaikw@nexora.in,farm123,Bhiwapur,Nagpur
Ramesh Vibhute,8807744397,rameshvibhute@nexora.in,farm123,Mangalvedhe,Solapur
Sushila Kadam,6053305570,sushilakadam@nexora.in,farm123,Renapur,Latur
Keshav Bhosale,6633744196,keshavbhosale2@nexora.in,farm123,Akot,Akola
Anil Suryawanshi,7092238128,anilsuryawansh@nexora.in,farm123,Vasai,Palghar
Hanumant Jadhav,8140025293,hanumantjadhav@nexora.in,farm123,Phaltan,Satara
Rekha Bhagat,7061994099,rekhabhagat@nexora.in,farm123,Karvir,Kolhapur
Arun Ghule,7909797148,arunghule@nexora.in,farm123,Mahur,Nanded
Zaheer Salunkhe,7722366356,zaheersalunkhe@nexora.in,farm123,Mouda,Nagpur
Chandrakant Ohol,7128655683,chandrakantoho@nexora.in,farm123,Malad,Mumbai Suburban
Vandana Pardeshi,6396717153,vandanapardesh2@nexora.in,farm123,Karad,Satara
Zaheer Salunkhe,6822885334,zaheersalunkhe3@nexora.in,farm123,Borivali,Mumbai Suburban
Sadashiv Rane,8540478594,sadashivrane@nexora.in,farm123,Akot,Akola
Balasaheb Yeole,6055363300,balasahebyeole@nexora.in,farm123,Jafrabad,Jalna
Dilip Pardeshi,7310163660,dilippardeshi@nexora.in,farm123,Morshi,Amravati
Chhaya Adsul,7702516585,chhayaadsul2@nexora.in,farm123,Shrivardhan,Raigad
Pushpa Hande,6180064782,pushpahande@nexora.in,farm123,Samudrapur,Wardha
Sushila Shelke,6000668519,sushilashelke@nexora.in,farm123,Kalamnuri,Hingoli
Archana Landge,7267161772,archanalandge@nexora.in,farm123,Lakhandur,Bhandara
Vinod Bhagat,6733692553,vinodbhagat@nexora.in,farm123,Ambajogai,Beed
Ashok Vhatkar,6232611317,ashokvhatkar2@nexora.in,farm123,Junnar,Pune
Nanda Shelke,7534418743,nandashelke@nexora.in,farm123,Sangole,Solapur
Madhuri Vibhute,7030312401,madhurivibhute@nexora.in,farm123,Karanja,Wardha
Vasudev Fadnavis,7477599021,vasudevfadnavi@nexora.in,farm123,Wardha,Wardha
Shobha Naikwadi,6388227842,shobhanaikwadi@nexora.in,farm123,Malad,Mumbai Suburban
