name,mobile,email,password,taluka,district,companyName
Umesh Yadav,6172527562,yashwantsugarmil@nexora.in,buy123,Ambegaon,Pune,Yashwant Sugar Mills Ltd
Ajit Rathod,8554188308,sinhagadricemill2@nexora.in,buy123,Arjuni-Morgaon,Gondia,Sinhagad Rice Mills
Suresh Vhatkar,8408423515,mulamuthacottont@nexora.in,buy123,Barshitakli,Akola,Mula-Mutha Cotton Traders
Rajendra Powar,8112109238,manasricetraders@nexora.in,buy123,Desaiganj,Gadchiroli,Manas Rice Traders Pvt Ltd
Vishal Sathe,6825477549,khandobaoniontra@nexora.in,buy123,Sindkheda,Dhule,Khandoba Onion Traders
Dattatray Gaikwad,6345966812,ashokafoodgrains@nexora.in,buy123,Chandrapur,Chandrapur,Ashoka Foodgrains Pvt Ltd
Rahul Chavan,7309040891,godavarivalleyfr2@nexora.in,buy123,Wai,Satara,Godavari Valley Fruit Preserves Co.
Sunil Ghorpade,6321762941,sundarbanpapayae@nexora.in,buy123,Dhadgaon,Nandurbar,Sundarban Papaya Exports
Sunita Powar,8767459704,vitthalsoybeantr2@nexora.in,buy123,Telhara,Akola,Vitthal Soybean Traders
Vandana Bhosale,9702815370,ektaagrotradingc@nexora.in,buy123,Colaba,Mumbai City,Ekta Agro Trading Co.
Neelam Takawale,6472648676,sarthisoybeantra@nexora.in,buy123,Tuljapur,Dharashiv (Osmanabad),Sarthi Soybean Traders
Namdev Ghorpade,7143667640,samruddhichikooe@nexora.in,buy123,Jawhar,Palghar,Samruddhi Chikoo Exports
Nanda Hande,9337896513,sureshagrotechpv@nexora.in,buy123,Parel,Mumbai City,Suresh AgroTech Pvt Ltd
Sopan Sathe,9466325051,rajmataorangepro@nexora.in,buy123,Chandurbazar,Amravati,Rajmata Orange Processing Co.
Mahendra Jagtap,9638123911,rajmatagrapeexpo@nexora.in,buy123,Indapur,Pune,Rajmata Grape Exports Pvt Ltd
Anita Shinde,6961422166,samruddhiwinespv@nexora.in,buy123,Pandharpur,Solapur,Samruddhi Wines Pvt Ltd
Nitin Randhawa,7220145530,samratcottonmill@nexora.in,buy123,Katol,Nagpur,Samrat Cotton Mills Ltd
Kalpana Borate,7764606964,bhimaoilmillspvt@nexora.in,buy123,Latur,Latur,Bhima Oil Mills Pvt Ltd
Yogesh Mane,6197509211,annapurnasugarmi@nexora.in,buy123,Wai,Satara,Annapurna Sugar Mills Ltd
Anjali Rathod,7177372187,sarthikokumproce@nexora.in,buy123,Khed,Ratnagiri,Sarthi Kokum Processing Co.
Gopal Deshpande,6110903448,jankalyancottong2@nexora.in,buy123,Patur,Akola,Jankalyan Cotton Ginning & Pressing
Vinod Sathe,8968814241,rajlaxmicottontr@nexora.in,buy123,Ghatanji,Yavatmal,Rajlaxmi Cotton Traders
Gopichand Thorat,8837525588,vaishnavitendule@nexora.in,buy123,Korpana,Chandrapur,Vaishnavi Tendu Leaves Co.
Sopan Gadhave,9323586325,tirupatijaggeryt@nexora.in,buy123,Gadhinglaj,Kolhapur,Tirupati Jaggery Traders
Dilip Deshpande,6360754426,konkansugarfacto3@nexora.in,buy123,Karvir,Kolhapur,Konkan Sugar Factory
Sarika Patil,6207777401,ganrajsunflowert@nexora.in,buy123,Parli,Beed,Ganraj Sunflower Traders
Dattatray Lokhande,8531696916,jagdambaricemill@nexora.in,buy123,Lakhani,Bhandara,Jagdamba Rice Mills
Mahendra Nalawade,7263898692,jaihindbananaexp@nexora.in,buy123,Chopda,Jalgaon,Jaihind Banana Exports
Sachin Solanke,7063535876,kisancottonmills@nexora.in,buy123,Hinganghat,Wardha,Kisan Cotton Mills Ltd
Milind Holkar,9760043372,tuljabhavaniagro@nexora.in,buy123,Borivali,Mumbai Suburban,Tulja Bhavani AgroTech Pvt Ltd
Pravin Lokhande,8207851337,renukasugarmills@nexora.in,buy123,Parli,Beed,Renuka Sugar Mills Ltd
Popat Bhagat,9203625155,amrutcottonginni@nexora.in,buy123,Bhatkuli,Amravati,Amrut Cotton Ginning & Pressing
Nitin Takawale,9411180151,krishnacooperati@nexora.in,buy123,Baramati,Pune,Krishna Cooperative Sugar Karkhana
Hanumant Bhandare,9774840289,sinhagadturmeric@nexora.in,buy123,Ardhapur,Nanded,Sinhagad Turmeric Processing Co.
Baburao Wagh,7679381444,shrishtionionveg@nexora.in,buy123,Niphad,Nashik,Shrishti Onion & Vegetable Traders
Pravin Shelke,6290115303,navnathsugarfact@nexora.in,buy123,Solapur South,Solapur,Navnath Sugar Factory
Vasant Nikam,9289744421,ghodcottontrader@nexora.in,buy123,Mudkhed,Nanded,Ghod Cotton Traders
Nitin Mane,7787736450,bhairavnathsugar3@nexora.in,buy123,Ajra,Kolhapur,Bhairavnath Sugars Pvt Ltd
Rajesh Bhosale,6680382853,taranganfruitpre@nexora.in,buy123,Phaltan,Satara,Tarangan Fruit Preserves Co.
Archana Deshpande,8418764470,vinayaksoyaproce2@nexora.in,buy123,Akot,Akola,Vinayak Soya Processors
Balasaheb Nikam,8724873949,rajhanscottontra@nexora.in,buy123,Dharangaon,Jalgaon,Rajhans Cotton Traders
Hanumant Dhumal,7267845257,shrishtiricetrad2@nexora.in,buy123,Bhiwandi,Thane,Shrishti Rice Traders Pvt Ltd
Anjali Ubale,6188242726,ekvirafoodgrains2@nexora.in,buy123,Bhadravati,Chandrapur,Ekvira Foodgrains Pvt Ltd
Rajesh Mane,7440792441,malhargrainstrad@nexora.in,buy123,Jalkot,Latur,Malhar Grains Traders
Prashant Sathe,7204508004,kundasantratrade@nexora.in,buy123,Nagpur Urban,Nagpur,Kunda Santra Traders
Milind Vhatkar,9796697107,ramrajasoybeantr@nexora.in,buy123,Chakur,Latur,Ramraja Soybean Traders
Ravindra Yadav,9205798682,ganrajcoconuttra@nexora.in,buy123,Panvel,Raigad,Ganraj Coconut Traders
Swati Kulkarni,6497854441,digvijaysahakari2@nexora.in,buy123,Ashti,Beed,Digvijay Sahakari Sakhar Karkhana
Manisha Ghadge,8214566159,saiseedspvtltd@nexora.in,buy123,Sillod,Chhatrapati Sambhajinagar (Aurangabad),Sai Seeds Pvt Ltd
Sunita Kulkarni,7339696674,waingangacottonm2@nexora.in,buy123,Georai,Beed,Wainganga Cotton Mills Ltd
Ravindra Jadhav,9335001067,ghodcottonginnin@nexora.in,buy123,Vaijapur,Chhatrapati Sambhajinagar (Aurangabad),Ghod Cotton Ginning & Pressing
Jyoti Deshmukh,9883106792,bhimaricetraders@nexora.in,buy123,Ambarnath,Thane,Bhima Rice Traders Pvt Ltd
Eknath Gadhave,9238056982,pavanacottonmill2@nexora.in,buy123,Deoli,Wardha,Pavana Cotton Mills Ltd
Amol Hande,9726217187,adityahapusexpor@nexora.in,buy123,Khed,Ratnagiri,Aditya Hapus Exports Pvt Ltd
Kalpana Shinde,7421162776,manashaldiudyog@nexora.in,buy123,Aundha Nagnath,Hingoli,Manas Haldi Udyog
Eknath Sathe,9641323813,swarajcottontrad@nexora.in,buy123,Ralegaon,Yavatmal,Swaraj Cotton Traders
Anita Sathe,7328338233,konkancottontrad@nexora.in,buy123,Sindkheda,Dhule,Konkan Cotton Traders
Suresh Holkar,8800151347,prithvirajorange@nexora.in,buy123,Morshi,Amravati,Prithviraj Orange Processing Co.
Milind Nikam,7473673133,khandobacottongi@nexora.in,buy123,Deglur,Nanded,Khandoba Cotton Ginning & Pressing
Hanumant Gadhave,6163810322,malharcottonmill3@nexora.in,buy123,Sakri,Dhule,Malhar Cotton Mills Ltd
Snehal Vhatkar,9993382864,mulatextilespvtl@nexora.in,buy123,Malegaon,Washim,Mula Textiles Pvt Ltd
Vinod Suryawanshi,6860571233,utkarshaagrotrad2@nexora.in,buy123,Dadar,Mumbai City,Utkarsha Agro Trading Co.
Mahendra Nikam,9529413078,nilkanthpapayaex@nexora.in,buy123,Shahada,Nandurbar,Nilkanth Papaya Exports
Ashok Patil,7351285665,renukaricemills@nexora.in,buy123,Lakhandur,Bhandara,Renuka Rice Mills
Shivaji Lokhande,6712048050,kisanfruitexport@nexora.in,buy123,Majalgaon,Beed,Kisan Fruit Exports Pvt Ltd
Dattatray Dhumal,8282116734,vaibhavgrainsmai@nexora.in,buy123,Dhule,Dhule,Vaibhav Grains & Maize Traders
Eknath Chavan,8602254921,ekviraagroexport2@nexora.in,buy123,Koregaon,Satara,Ekvira Agro Exports Pvt Ltd
Dattatray Chougule,7468043283,lokmangalsugarmi@nexora.in,buy123,Shrigonda,Ahilyanagar (Ahmednagar),Lokmangal Sugar Mills Ltd
Vandana More,7563480770,ganeshsweetsfood@nexora.in,buy123,Mantha,Jalna,Ganesh Sweets & Foods Pvt Ltd
Ashok Ubale,7065777876,panchvaticottont2@nexora.in,buy123,Wardha,Wardha,Panchvati Cotton Traders
Kavita Nalawade,8840574440,samruddhicottont@nexora.in,buy123,Akkalkuwa,Nandurbar,Samruddhi Cotton Traders
Sachin Rane,9782082882,tuljabhavanitext2@nexora.in,buy123,Ashti,Wardha,Tulja Bhavani Textiles Pvt Ltd
Umesh Wagh,9450480556,uttamricetraders@nexora.in,buy123,Korchi,Gadchiroli,Uttam Rice Traders Pvt Ltd
Sunita Gaikwad,9068099981,laxmisuparitrade@nexora.in,buy123,Tala,Raigad,Laxmi Supari Traders
Sarika Nalawade,8688363585,sarthifoodsexpor2@nexora.in,buy123,Colaba,Mumbai City,Sarthi Foods & Exports Pvt Ltd
Sanjay Suryawanshi,8817936072,malhargroundnutt@nexora.in,buy123,Chalisgaon,Jalgaon,Malhar Groundnut Traders
Shivaji Bhagat,7146550574,malharricetrader2@nexora.in,buy123,Mhasala,Raigad,Malhar Rice Traders Pvt Ltd
Shobha Borate,7565688788,panchgangagrains@nexora.in,buy123,Dhule,Dhule,Panchganga Grains & Maize Traders
Dattatray Borate,9673344832,ramrajatenduleav@nexora.in,buy123,Dhanora,Gadchiroli,Ramraja Tendu Leaves Co.
Kalpana Zaware,9263614969,adityaagriseedsc@nexora.in,buy123,Bhokardan,Jalna,Aditya Agri Seeds Co.
Jyoti Dhumal,8397835720,kalikahaldiudyog@nexora.in,buy123,Jintur,Parbhani,Kalika Haldi Udyog
Dattatray Jadhav,9828890931,ashokaagrotechpv@nexora.in,buy123,Andheri,Mumbai Suburban,Ashoka AgroTech Pvt Ltd
Rajendra Khedkar,9086771575,kundaalphonsoexp@nexora.in,buy123,Thane,Thane,Kunda Alphonso Exports
Neelam Shelke,6654478393,amrutagulbhandar@nexora.in,buy123,Shirol,Kolhapur,Amruta Gul Bhandar
Bapurao Wagh,8133026578,saifoodgrainspvt@nexora.in,buy123,Korchi,Gadchiroli,Sai Foodgrains Pvt Ltd
Prashant Joshi,9393435879,rajgadricetrader3@nexora.in,buy123,Chandrapur,Chandrapur,Rajgad Rice Traders Pvt Ltd
Prakash Deshpande,6138764836,amrutcottonginni3@nexora.in,buy123,Hinganghat,Wardha,Amrut Cotton Ginning & Pressing
Anita Powar,8514416144,ganrajricemills@nexora.in,buy123,Sakoli,Bhandara,Ganraj Rice Mills
Kalpana Takawale,6278987710,uttamturmericpro2@nexora.in,buy123,Aundha Nagnath,Hingoli,Uttam Turmeric Processing Co.
Milind Khedkar,6888283201,annapurnaricetra@nexora.in,buy123,Pauni,Bhandara,Annapurna Rice Traders Pvt Ltd
Snehal Mahajan,7674932828,mulamuthaspicetr@nexora.in,buy123,Sengaon,Hingoli,Mula-Mutha Spice Traders
Vijay Shelke,8091068675,kedareshwarfores@nexora.in,buy123,Sindewahi,Chandrapur,Kedareshwar Forest Produce Traders
Kiran Rathod,8422993518,rajgadricetrader2@nexora.in,buy123,Jiwati,Chandrapur,Rajgad Rice Traders Pvt Ltd
Sachin Suryawanshi,9589829953,rajendraturmeric@nexora.in,buy123,Hingoli,Hingoli,Rajendra Turmeric Processing Co.
Vandana Takawale,6826284522,shreekokumproces@nexora.in,buy123,Ratnagiri,Ratnagiri,Shree Kokum Processing Co.
Nanda Zaware,8299941743,shreeramalphonso@nexora.in,buy123,Ratnagiri,Ratnagiri,Shreeram Alphonso Exports
Rajesh Hande,7289674035,uttamcottonmills@nexora.in,buy123,Amravati,Amravati,Uttam Cotton Mills Ltd
Rajendra More,6404255822,nilkanthstrawber@nexora.in,buy123,Jaoli,Satara,Nilkanth Strawberry Jam Ltd
Tanaji Zaware,8521372592,chandracottongin@nexora.in,buy123,Sengaon,Hingoli,Chandra Cotton Ginning & Pressing
Bharat Shinde,8370966208,sanmancottonmill@nexora.in,buy123,Kelapur,Yavatmal,Sanman Cotton Mills Ltd
Anand Wagh,8846795157,omsoyaprocessors@nexora.in,buy123,Deoni,Latur,Om Soya Processors
Shrikant Bhosale,8762732073,vaibhavcitrusexp@nexora.in,buy123,Kamptee,Nagpur,Vaibhav Citrus Exports Pvt Ltd
Manisha Bhandare,9799424814,malharspicetrade@nexora.in,buy123,Kadegaon,Sangli,Malhar Spice Traders
Dilip Dhumal,6079185281,sinhagadcashewex@nexora.in,buy123,Kudal,Sindhudurg,Sinhagad Cashew Exports Pvt Ltd
Kiran Patil,9074137484,rajgadricetrader@nexora.in,buy123,Thane,Thane,Rajgad Rice Traders Pvt Ltd
Bharat Jadhav,7300289396,navjeevanagroind@nexora.in,buy123,Purna,Parbhani,Navjeevan Agro Industries
Vasant Chougule,8597406055,vitthalcottontra@nexora.in,buy123,Kandhar,Nanded,Vitthal Cotton Traders
Suresh Rane,9914397501,kranticitrusexpo@nexora.in,buy123,Warud,Amravati,Kranti Citrus Exports Pvt Ltd
Anjali Bhosale,6897199525,padmavaticottont@nexora.in,buy123,Darwha,Yavatmal,Padmavati Cotton Traders
Madhuri Waghmare,8278205444,utkarsharicetrad@nexora.in,buy123,Palghar,Palghar,Utkarsha Rice Traders Pvt Ltd
Anita Ghadge,6518215638,samratricetrader@nexora.in,buy123,Sakoli,Bhandara,Samrat Rice Traders Pvt Ltd
Raghunath More,6196037672,vaibhavcottontra@nexora.in,buy123,Digras,Yavatmal,Vaibhav Cotton Traders
Nanda Lokhande,7289934140,mulafreshgrapese@nexora.in,buy123,Karmala,Solapur,Mula Fresh Grapes Exports
Madhuri Fadnavis,6088715016,krantitextilespv3@nexora.in,buy123,Lonar,Buldhana,Kranti Textiles Pvt Ltd
Amol Ghadge,6435889368,ganeshfruitexpor@nexora.in,buy123,Patoda,Beed,Ganesh Fruit Exports Pvt Ltd
Snehal Dhumal,6491531931,nirasoybeantrade@nexora.in,buy123,Dhamangaon,Amravati,Nira Soybean Traders
Dilip Kadam,9694630182,aishwaryahaldiud@nexora.in,buy123,Kadegaon,Sangli,Aishwarya Haldi Udyog
Nanda Zaware,7142170273,rajmatacottonmil@nexora.in,buy123,Sillod,Chhatrapati Sambhajinagar (Aurangabad),Rajmata Cotton Mills Ltd
Milind Rane,8904544091,krishnawinespvtl@nexora.in,buy123,Baglan,Nashik,Krishna Wines Pvt Ltd
Seema Bhandare,7175134511,navnathsugarspvt@nexora.in,buy123,Maan,Satara,Navnath Sugars Pvt Ltd
Kavita Waghmare,6758904927,omcitrusexportsp2@nexora.in,buy123,Arvi,Wardha,Om Citrus Exports Pvt Ltd
Sopan Chougule,9018955597,uttamkajuudyog@nexora.in,buy123,Kudal,Sindhudurg,Uttam Kaju Udyog
Raghunath Powar,9516849518,prithvirajtextil@nexora.in,buy123,Jafrabad,Jalna,Prithviraj Textiles Pvt Ltd
Deepak Chavan,9205673501,digvijayoilmills@nexora.in,buy123,Kalamb,Dharashiv (Osmanabad),Digvijay Oil Mills Pvt Ltd
Namdev Shinde,9756408579,panchvatiagrotra@nexora.in,buy123,Bandra,Mumbai Suburban,Panchvati Agro Trading Co.
Rupali Takawale,9647481370,sundarbansoybean@nexora.in,buy123,Osmanabad,Dharashiv (Osmanabad),Sundarban Soybean Traders
Dilip Salunkhe,7023019607,tapifreshgrapese@nexora.in,buy123,Baramati,Pune,Tapi Fresh Grapes Exports
Manisha Kale,6383268939,krishnafoodsexpo@nexora.in,buy123,Colaba,Mumbai City,Krishna Foods & Exports Pvt Ltd
Pooja Rathod,9485403535,girnarfruittrade@nexora.in,buy123,Jawhar,Palghar,Girnar Fruit Traders Pvt Ltd
Milind Salunkhe,8302782724,navnathcottongin@nexora.in,buy123,Katol,Nagpur,Navnath Cotton Ginning & Pressing
Kiran Patil,7480503550,harihareshwarcot@nexora.in,buy123,Dharmabad,Nanded,Harihareshwar Cotton Traders
Umesh Deshpande,8851907996,vishwasoilmillsp@nexora.in,buy123,Shirur Anantpal,Latur,Vishwas Oil Mills Pvt Ltd
Santosh Lokhande,9067559909,kalikatextilespv2@nexora.in,buy123,Seloo,Wardha,Kalika Textiles Pvt Ltd
Dattatray Ubale,7886443337,suryafreshvegeta@nexora.in,buy123,Maval,Pune,Surya Fresh Vegetable Traders
Suresh Kale,7901374635,pravaramangotrad@nexora.in,buy123,Sudhagad-Pali,Raigad,Pravara Mango Traders
Pooja Bhagat,6441117250,sanmanricemills@nexora.in,buy123,Sadak-Arjuni,Gondia,Sanman Rice Mills
Sanjay Holkar,9119237739,panchgangajagger@nexora.in,buy123,Radhanagari,Kolhapur,Panchganga Jaggery Traders
Snehal Joshi,6379480043,sinhagadmangotra@nexora.in,buy123,Sangameshwar,Ratnagiri,Sinhagad Mango Traders
Archana Solanke,7828732461,ashokaricemills@nexora.in,buy123,Shahapur,Thane,Ashoka Rice Mills
Namdev Deshmukh,9692084417,kedareshwarsantr@nexora.in,buy123,Daryapur,Amravati,Kedareshwar Santra Traders
Prashant Suryawanshi,7813246033,sarthisugarspvtl@nexora.in,buy123,Koregaon,Satara,Sarthi Sugars Pvt Ltd
Seema Powar,6414280836,manassugarfactor@nexora.in,buy123,Ambegaon,Pune,Manas Sugar Factory
Ravindra Thorat,8951192735,rajlaxmitextiles@nexora.in,buy123,Umarkhed,Yavatmal,Rajlaxmi Textiles Pvt Ltd
Shankar Deshmukh,8993344288,vaibhavcashewexp@nexora.in,buy123,Vengurla,Sindhudurg,Vaibhav Cashew Exports Pvt Ltd
Milind Patil,7156363593,balajifreshgrape@nexora.in,buy123,Peth,Nashik,Balaji Fresh Grapes Exports
Shobha Rathod,7238711882,samruddhicottonm@nexora.in,buy123,Samudrapur,Wardha,Samruddhi Cotton Mills Ltd
Ganesh Fadnavis,8649298804,adityasugarmills@nexora.in,buy123,Wai,Satara,Aditya Sugar Mills Ltd
Ramesh Sathe,6535661473,ektatextilespvtl@nexora.in,buy123,Jamner,Jalgaon,Ekta Textiles Pvt Ltd
Ajit Nalawade,8349383588,rameshfisheriesp@nexora.in,buy123,Mokhada,Palghar,Ramesh Fisheries Pvt Ltd
Vinod Chougule,6137908368,godavarisitaphal@nexora.in,buy123,Parli,Beed,Godavari Sitaphal Traders
Snehal Kulkarni,9497367737,ekviracottontrad2@nexora.in,buy123,Shirpur,Dhule,Ekvira Cotton Traders
Sopan Jagtap,8012783628,vitthalricemills@nexora.in,buy123,Amgaon,Gondia,Vitthal Rice Mills
Sarika Shinde,6939663942,navjeevansahakar@nexora.in,buy123,Malshiras,Solapur,Navjeevan Sahakari Sakhar Karkhana
Shankar Chavan,8407926684,aishwaryapulsest@nexora.in,buy123,Deoni,Latur,Aishwarya Pulses Traders Pvt Ltd
Namdev Rane,6412904561,yashwanthaldiudy2@nexora.in,buy123,Kalamnuri,Hingoli,Yashwant Haldi Udyog
Anand Joshi,7159884134,ashirwadoilmills2@nexora.in,buy123,Jalgaon,Jalgaon,Ashirwad Oil Mills Pvt Ltd
Gopal Wagh,8546737716,godavarivalleysu2@nexora.in,buy123,Rahuri,Ahilyanagar (Ahmednagar),Godavari Valley Sugar Mills Ltd
Snehal Hande,9851086580,rajendrasuparitr@nexora.in,buy123,Sawantwadi,Sindhudurg,Rajendra Supari Traders
Vasant Ghorpade,9507674284,ganrajricetrader@nexora.in,buy123,Sadak-Arjuni,Gondia,Ganraj Rice Traders Pvt Ltd
Bharat Khedkar,9655059753,samruddhitextile@nexora.in,buy123,Loha,Nanded,Samruddhi Textiles Pvt Ltd
Rahul Thorat,8516180467,navjeevancottonm2@nexora.in,buy123,Daryapur,Amravati,Navjeevan Cotton Mills Ltd
Manisha Patil,9421660546,indrayanitextile@nexora.in,buy123,Ramtek,Nagpur,Indrayani Textiles Pvt Ltd
Neelam Jagtap,9243814622,jagdambabedanaex@nexora.in,buy123,Tasgaon,Sangli,Jagdamba Bedana Exports Pvt Ltd
Shrikant Rane,7129327983,godavarivalleysu@nexora.in,buy123,Khed,Pune,Godavari Valley Sugar Factory
Nitin Chougule,8244802430,pragatiagroindus@nexora.in,buy123,Deglur,Nanded,Pragati Agro Industries
Manohar Shelke,7217654163,sundarbanagroind@nexora.in,buy123,Akot,Akola,Sundarban Agro Industries
Raghunath Wagh,7643860554,saraswatiorangep@nexora.in,buy123,Anjangaon-Surji,Amravati,Saraswati Orange Processing Co.
Madhuri Chougule,7630910585,vaibhavtextilesp5@nexora.in,buy123,Washim,Washim,Vaibhav Textiles Pvt Ltd
Sunita Kulkarni,6559874906,rameshcottontrad@nexora.in,buy123,Sangrampur,Buldhana,Ramesh Cotton Traders
Rajendra Ghorpade,9691867502,ekviracottontrad@nexora.in,buy123,Purna,Parbhani,Ekvira Cotton Traders
Jyoti Takawale,8695778625,prithvirajkokump@nexora.in,buy123,Chiplun,Ratnagiri,Prithviraj Kokum Processing Co.
Shankar Patil,7324150183,tuljabhavanisoyb2@nexora.in,buy123,Mehkar,Buldhana,Tulja Bhavani Soybean Traders
Nitin Khedkar,8853769492,sahyadrioilmills@nexora.in,buy123,Osmanabad,Dharashiv (Osmanabad),Sahyadri Oil Mills Pvt Ltd
Vijay Nikam,7656988655,vitthalfoodsexpo@nexora.in,buy123,Andheri,Mumbai Suburban,Vitthal Foods & Exports Pvt Ltd
Vandana Sathe,7702069744,bhimasugarfactor@nexora.in,buy123,Gaganbawada,Kolhapur,Bhima Sugar Factory
Yogesh Khedkar,9125906305,konkanoilmillspv@nexora.in,buy123,Maregaon,Yavatmal,Konkan Oil Mills Pvt Ltd
Balasaheb Chavan,6327112464,ashokafruittrade@nexora.in,buy123,Amalner,Jalgaon,Ashoka Fruit Traders Pvt Ltd
Ajit Khedkar,7439039427,panchvatisugarmi@nexora.in,buy123,Karvir,Kolhapur,Panchvati Sugar Mills Ltd
Vandana Jadhav,9971205514,pragatioilmillsp@nexora.in,buy123,Hingoli,Hingoli,Pragati Oil Mills Pvt Ltd
Popat Salunkhe,9500069862,mulamuthafruitex@nexora.in,buy123,Georai,Beed,Mula-Mutha Fruit Exports Pvt Ltd
Mangesh Deshmukh,7815688515,chhatrapaticashe@nexora.in,buy123,Vengurla,Sindhudurg,Chhatrapati Cashew Processors
Prakash Ubale,9332897961,karhacottonginni@nexora.in,buy123,Yavatmal,Yavatmal,Karha Cotton Ginning & Pressing
Neelam Rane,7025429107,shubhamfisheries@nexora.in,buy123,Vikramgad,Palghar,Shubham Fisheries Pvt Ltd
Vijay Bhagat,9886512567,amrutaagroexport@nexora.in,buy123,Satara,Satara,Amruta Agro Exports Pvt Ltd
Nitin Zaware,6195381613,godavarivalleyco@nexora.in,buy123,Deulgaon Raja,Buldhana,Godavari Valley Cotton Ginning & Pressing
Rupali Fadnavis,7902227918,vijaysuparitrade@nexora.in,buy123,Uran,Raigad,Vijay Supari Traders
Meera Lokhande,6900400238,shivshaktioilmil2@nexora.in,buy123,Umarga,Dharashiv (Osmanabad),Shivshakti Oil Mills Pvt Ltd
Popat Shinde,9565477171,santtukaramsoyap@nexora.in,buy123,Bhum,Dharashiv (Osmanabad),Sant Tukaram Soya Processors
Shankar Ghorpade,7535254323,vijaydurgtextile@nexora.in,buy123,Chopda,Jalgaon,Vijaydurg Textiles Pvt Ltd
Vasant Gawali,8252003552,adityahaldiudyog@nexora.in,buy123,Deglur,Nanded,Aditya Haldi Udyog
Baburao Patil,7373512431,pragatifreshvege@nexora.in,buy123,Kalwan,Nashik,Pragati Fresh Vegetable Exports Pvt Ltd
Santosh More,7993158279,ganrajcottonmill@nexora.in,buy123,Nandurbar,Nandurbar,Ganraj Cotton Mills Ltd
Popat Shelke,9278347926,jankalyancottont2@nexora.in,buy123,Shahada,Nandurbar,Jankalyan Cotton Traders
Hanumant Mane,6207764265,panchgangaricetr@nexora.in,buy123,Bhiwandi,Thane,Panchganga Rice Traders Pvt Ltd
Namdev Chougule,7480356373,vishwascottonmil2@nexora.in,buy123,Jalna,Jalna,Vishwas Cotton Mills Ltd
Sachin Mahajan,8848775124,jagdambaricetrad@nexora.in,buy123,Deori,Gondia,Jagdamba Rice Traders Pvt Ltd
Amol Jadhav,6156907857,suvarnawinespvtl@nexora.in,buy123,Jat,Sangli,Suvarna Wines Pvt Ltd
Amol Thorat,9119006606,bhairavgadfoodgr@nexora.in,buy123,Roha,Raigad,Bhairavgad Foodgrains Pvt Ltd
Ajit Khedkar,6087958638,krishnavalleysug@nexora.in,buy123,Khandala,Satara,Krishna Valley Sugar Factory
Nanda Chougule,9649425834,samratagrotechpv@nexora.in,buy123,Dadar,Mumbai City,Samrat AgroTech Pvt Ltd
Bapurao Shinde,7924867527,tarangancashewpr@nexora.in,buy123,Devgad,Sindhudurg,Tarangan Cashew Processors
Deepak Borate,9431797419,jagdambaagrotech@nexora.in,buy123,Kurla,Mumbai Suburban,Jagdamba AgroTech Pvt Ltd
Nanda Sable,9221272036,marathasunflower@nexora.in,buy123,Khamgaon,Buldhana,Maratha Sunflower Traders
Mangesh Fadnavis,8384090153,amrutasugarmills@nexora.in,buy123,Kopargaon,Ahilyanagar (Ahmednagar),Amruta Sugar Mills Ltd
Ashok Nalawade,7786579754,sahakaralphonsoe@nexora.in,buy123,Malwan,Sindhudurg,Sahakar Alphonso Exports
Dattatray Sathe,7837156103,vishwassantratra2@nexora.in,buy123,Chikhaldara,Amravati,Vishwas Santra Traders
Nitin Rathod,8941974126,godavarivalleysu3@nexora.in,buy123,Ambegaon,Pune,Godavari Valley Sugar Factory
Sachin Rane,6323273915,marathacottonmil@nexora.in,buy123,Dhule,Dhule,Maratha Cotton Mills Ltd
Shrikant Ubale,8042690838,chandraricemills@nexora.in,buy123,Khalapur,Raigad,Chandra Rice Mills
Ramesh Nalawade,6595213811,swarajsunflowert@nexora.in,buy123,Shegaon,Buldhana,Swaraj Sunflower Traders
Vasant Patil,9637675703,bhairavgadtextil@nexora.in,buy123,Samudrapur,Wardha,Bhairavgad Textiles Pvt Ltd
Dilip Chougule,6089183125,vijaysugarmillsl@nexora.in,buy123,Junnar,Pune,Vijay Sugar Mills Ltd
Archana Thorat,8950858105,saicottontraders@nexora.in,buy123,Mukhed,Nanded,Sai Cotton Traders
Manohar Pawar,8593536000,lokmangaltendule@nexora.in,buy123,Gadchiroli,Gadchiroli,Lokmangal Tendu Leaves Co.
Santosh Dhumal,9208495997,amrutfruittrader@nexora.in,buy123,Talode,Nandurbar,Amrut Fruit Traders Pvt Ltd
Ganesh Dhumal,6092642899,suvarnagroundnut@nexora.in,buy123,Chalisgaon,Jalgaon,Suvarna Groundnut Traders
Vandana Bhandare,6540582531,indrayanicottong@nexora.in,buy123,Nandura,Buldhana,Indrayani Cotton Ginning & Pressing
Namdev Lokhande,6440699576,sundarbanagrotra@nexora.in,buy123,Colaba,Mumbai City,Sundarban Agro Trading Co.
Balasaheb Holkar,6507690418,shrishtiricetrad@nexora.in,buy123,Mohadi,Bhandara,Shrishti Rice Traders Pvt Ltd
Sunil Mane,6327235304,suryaagrotrading@nexora.in,buy123,Colaba,Mumbai City,Surya Agro Trading Co.
Mangesh Thorat,7639537623,panchvaticottonm3@nexora.in,buy123,Nandurbar,Nandurbar,Panchvati Cotton Mills Ltd
Santosh Shelke,7311662984,shrishtibetelnut@nexora.in,buy123,Panvel,Raigad,Shrishti Betelnut Exports
